68 output data

Passing Points:
(18, 4)
(18, 3)
(19, 3)
(18, 3)
(18, 4)
(18, 5)
(17, 5)
(16, 5)
(15, 5)
(15, 6)
(14, 6)
(14, 5)
(15, 5)
(15, 4)
(14, 4)
(15, 4)
(15, 3)
(16, 3)
(17, 3)
(18, 3)
(19, 3)
(19, 2)
(19, 3)
(18, 3)
(19, 3)
(18, 3)
(19, 3)
(18, 3)
(18, 2)
(17, 2)
(17, 3)
(16, 3)
(15, 3)
(14, 3)
(15, 3)
(15, 2)
(15, 3)
(16, 3)
(17, 3)
(16, 3)
(16, 4)
(16, 5)
(17, 5)
(18, 5)
(17, 5)
(16, 5)
(17, 5)
(16, 5)
(16, 6)
(16, 5)
(17, 5)
(17, 4)
(17, 3)
(16, 3)
(16, 4)
(17, 4)
(17, 3)
(17, 4)
(17, 3)
(17, 4)
(17, 3)
(17, 4)
(17, 3)
(17, 4)
(17, 3)
(18, 3)
(18, 4)
(17, 4)
(17, 5)
(17, 6)
(17, 5)
(16, 5)
(17, 5)
(17, 4)
(17, 3)
(17, 4)
(17, 3)
(17, 2)
(17, 3)
(17, 2)
(18, 2)
(18, 3)
(19, 3)
(19, 2)
(19, 1)
(19, 2)
(19, 3)
(19, 2)
(18, 2)
(18, 1)
(18, 0)
(18, 1)
(18, 2)
(19, 2)
(19, 3)
(18, 3)
(17, 3)
(18, 3)
(18, 2)
(19, 2)
(18, 2)
(19, 2)
(19, 1)
(19, 0)
(18, 0)
(17, 0)
(16, 0)
(15, 0)
(15, 1)
(14, 1)
(14, 2)
(13, 2)
(13, 3)
(12, 3)
(13, 3)
(14, 3)
(14, 2)
(14, 3)
(15, 3)
(16, 3)
(16, 2)
(16, 1)
(17, 1)
(17, 2)
(17, 3)
(17, 4)
(17, 3)
(17, 2)
(18, 2)
(18, 1)
(17, 1)
(17, 0)
(16, 0)
(17, 0)
(18, 0)
(19, 0)
(19, 1)
(19, 2)
(19, 3)
(19, 2)
(19, 3)
(19, 2)
(19, 1)
(19, 0)
(18, 0)
(18, 1)
(18, 2)
(18, 1)
(18, 0)
(18, 1)
(18, 2)
(18, 1)
(18, 2)
(18, 1)
(18, 2)
(18, 3)
(19, 3)
(19, 2)
(18, 2)
(19, 2)
(19, 1)
(18, 1)
(18, 2)
(19, 2)
(19, 3)
(18, 3)
(18, 4)
(18, 3)
(19, 3)
(19, 2)
(18, 2)
(18, 1)
(18, 0)
(19, 0)
(19, 1)
(18, 1)
(17, 1)
(17, 2)
(17, 3)
(17, 4)
