df18.c output data

Number of items: 
3

Positions of shelves:
1: (2, 17), (13, 42)
2: (6, 5), (12, 13)
3: (16, 43), (17, 45)
4: (15, 6), (16, 9)
5: (16, 15), (17, 16)

Shopping list:
W, D, M, 

Route: 
(7, 44)
(6, 44)
(6, 45)
(6, 46)
(7, 46)
(8, 46)
(7, 46)
(6, 46)
(5, 46)
(5, 45)
(5, 44)
(5, 43)
(5, 44)
(6, 44)
(6, 45)
(6, 46)
(6, 45)
(6, 44)
(7, 44)
(7, 45)
(7, 46)
(7, 45)
(8, 45)
(9, 45)
(8, 45)
(9, 45)
(9, 46)
(9, 45)
(9, 46)
(9, 47)
(9, 48)
(10, 48)
(9, 48)
(9, 47)
(9, 46)
(8, 46)
(8, 45)
(9, 45)
(9, 44)
(10, 44)
(10, 45)
(11, 45)
(11, 46)
(11, 45)
(10, 45)
(11, 45)
(10, 45)
(10, 44)
(11, 44)
(12, 44)
(12, 45)
(12, 44)
(13, 44)
(13, 43)
(13, 44)
(14, 44)
(14, 45)
(15, 45)
(14, 45)
(14, 44)
(14, 45)
(13, 45)
(14, 45)
(13, 45)
(12, 45)
(13, 45)
(14, 45)
(14, 44)
(13, 44)
(12, 44)
(12, 45)
(13, 45)
(13, 44)
(14, 44)
(13, 44)
(13, 43)
(13, 44)
(14, 44)
(14, 45)
(15, 45)
(15, 44)
(15, 45)
(15, 44)
(15, 43)
(14, 43)
(14, 44)
(15, 44)
(15, 43)
(15, 44)
(15, 43)
(15, 44)
(15, 45)
(14, 45)
(14, 46)
(15, 46)
(16, 46)
(15, 46)
(14, 46)
(15, 46)
(15, 45)
(15, 46)
(14, 46)
(13, 46)
(13, 45)
(12, 45)
(13, 45)
(14, 45)
(15, 45)
(15, 46)
(14, 46)
(15, 46)
(16, 46)
(17, 46)
(17, 47)
(17, 48)
(16, 48)
(17, 48)
(17, 47)
(18, 47)
(19, 47)
(18, 47)
(18, 46)
(19, 46)
(19, 47)
(18, 47)
(18, 48)
(19, 48)
(18, 48)
(17, 48)
(17, 47)
(17, 48)
(17, 49)
(18, 49)
(18, 48)
(18, 49)
(18, 48)
(17, 48)
(17, 49)
(18, 49)
(17, 49)
(18, 49)
(18, 48)
(17, 48)
(16, 48)
(16, 47)
(16, 46)
(17, 46)
(18, 46)
(17, 46)
(17, 47)
(16, 47)
(15, 47)
(16, 47)
(16, 46)
(17, 46)
(16, 46)
(15, 46)
(15, 47)
(15, 48)
(15, 47)
(16, 47)
(15, 47)
(15, 46)
(15, 45)
(15, 46)
(16, 46)
(16, 47)
(15, 47)
(15, 46)
(14, 46)
(14, 45)
(15, 45)
(14, 45)
(14, 46)
(15, 46)
(15, 47)
(16, 47)
(16, 46)
(16, 47)
(17, 47)
(18, 47)
(17, 47)
(16, 47)
(17, 47)
(17, 48)
(17, 49)
(17, 48)
(16, 48)
(16, 47)
(16, 46)
(15, 46)
(15, 45)
(14, 45)
(15, 45)
(15, 44)
(15, 43)
(15, 42)
(14, 42)
(14, 43)
(14, 44)
(13, 44)
(13, 43)
(13, 44)
(13, 45)
(14, 45)
(13, 45)
(14, 45)
(13, 45)
(13, 44)
(14, 44)
(14, 45)
(14, 46)
(14, 45)
(15, 45)
(15, 46)
(14, 46)
(15, 46)
(14, 46)
(13, 46)
(13, 47)
(13, 48)
(14, 48)
(14, 47)
(13, 47)
(13, 48)
(14, 48)
(14, 47)
(14, 48)
(14, 47)
(13, 47)
(13, 48)
(14, 48)
(13, 48)
(14, 48)
(14, 47)
(15, 47)
(15, 46)
(15, 47)
(15, 46)
(16, 46)
(15, 46)
(14, 46)
(14, 45)
(14, 44)
(15, 44)
(14, 44)
(14, 43)
(13, 43)
(13, 44)
(13, 43)
(13, 44)
(14, 44)
(14, 45)
(14, 46)
(15, 46)
(15, 45)
(15, 44)
(14, 44)
(15, 44)
(15, 45)
(14, 45)
(13, 45)
(13, 46)
(13, 45)
(14, 45)
(13, 45)
(13, 46)
(14, 46)
(13, 46)
(13, 47)
(13, 48)
(14, 48)
(14, 49)
(14, 48)
(15, 48)
(14, 48)
(13, 48)
(12, 48)
(13, 48)
(13, 49)
(13, 48)
(13, 49)
(12, 49)
(12, 48)
(12, 47)
(12, 46)
(11, 46)
(12, 46)
(11, 46)
(10, 46)
(10, 45)
(10, 44)
(11, 44)
(11, 43)
(11, 44)
(10, 44)
(10, 43)
(11, 43)
(12, 43)
(12, 44)
(12, 43)
(11, 43)
(12, 43)
(12, 44)
(13, 44)
(13, 45)
(14, 45)
(14, 46)
(15, 46)
(15, 45)
(14, 45)
(15, 45)
(15, 44)
(14, 44)
(14, 43)
(15, 43)
(15, 42)
(15, 41)
(15, 42)
(16, 42)
(15, 42)
(15, 43)
(15, 44)
(15, 43)
(15, 44)
(15, 43)
(15, 42)
(16, 42)
(15, 42)
(16, 42)
(16, 41)
(17, 41)
(17, 40)
(18, 40)
(18, 41)
(19, 41)
(19, 40)
(18, 40)
(18, 41)
(18, 42)
(17, 42)
(16, 42)
(16, 41)
(15, 41)
(15, 42)
(15, 43)
(14, 43)
(15, 43)
(14, 43)
(14, 42)
(14, 41)
(14, 40)
(15, 40)
(15, 39)
(15, 40)
(16, 40)
(17, 40)
(16, 40)
(15, 40)
(15, 39)
(16, 39)
(17, 39)
(17, 38)
(18, 38)
(18, 37)
(17, 37)
(18, 37)
(17, 37)
(16, 37)
(16, 38)
(15, 38)
(15, 39)
(16, 39)
(15, 39)
(14, 39)
(15, 39)
(16, 39)
(16, 40)
(17, 40)
(18, 40)
(17, 40)
(17, 41)
(17, 42)
(16, 42)
(17, 42)
(17, 41)
(18, 41)
(19, 41)
(19, 40)
(19, 41)
(19, 42)
(19, 43)
(18, 43)
(18, 42)
(17, 42)
(18, 42)
(18, 43)
(18, 44)
(18, 43)
(18, 44)
(18, 43)
(19, 43)
(19, 42)
(18, 42)
(18, 43)
(18, 42)
(19, 42)
(19, 41)
(18, 41)
(18, 40)
(17, 40)
(16, 40)
(16, 41)
(16, 40)
(17, 40)
(16, 40)
(17, 40)
(17, 39)
(17, 40)
(17, 39)
(16, 39)
(15, 39)
(14, 39)
(14, 40)
(15, 40)
(15, 41)
(16, 41)
(17, 41)
(18, 41)
(18, 42)
(17, 42)
(16, 42)
(15, 42)
(16, 42)
(17, 42)
(17, 41)
(17, 42)
(18, 42)
(18, 41)
(18, 42)
(19, 42)
(18, 42)
(18, 43)
(18, 42)
(18, 41)
(18, 42)
(18, 41)
(18, 40)
(19, 40)
(19, 39)
(18, 39)
(17, 39)
(16, 39)
(16, 38)
(17, 38)
(18, 38)
(17, 38)
(18, 38)
(18, 37)
(18, 38)
(18, 39)
(17, 39)
(18, 39)
(18, 38)
(18, 37)
(18, 36)
(18, 37)
(19, 37)
(19, 38)
(19, 37)
(19, 36)
(19, 35)
(19, 34)
(19, 35)
(19, 36)
(18, 36)
(19, 36)
(19, 35)
(19, 34)
(19, 33)
(19, 32)
(19, 33)
(18, 33)
(18, 34)
(18, 33)
(18, 34)
(18, 35)
(18, 36)
(17, 36)
(16, 36)
(16, 37)
(16, 38)
(16, 37)
(17, 37)
(16, 37)
(17, 37)
(16, 37)
(16, 36)
(16, 37)
(16, 38)
(17, 38)
(18, 38)
(19, 38)
(18, 38)
(18, 39)
(18, 40)
(19, 40)
(19, 41)
(19, 42)
(18, 42)
(18, 41)
(18, 40)
(19, 40)
(19, 39)
(18, 39)
(18, 40)
(18, 41)
(18, 42)
(19, 42)
(19, 43)
(19, 44)
(19, 43)
(19, 42)
(18, 42)
(18, 43)
(18, 42)
(19, 42)
(19, 43)
(19, 42)
(18, 42)
(18, 41)
(18, 42)
(19, 42)
(19, 43)
(19, 44)
(18, 44)
(19, 44)
(19, 43)
(19, 44)
(19, 43)
(19, 42)
(18, 42)
(19, 42)
(19, 43)
(19, 42)
(18, 42)
(18, 41)
(18, 42)
(19, 42)
(19, 43)
(18, 43)
(18, 44)
(18, 45)
(19, 45)
(18, 45)
(18, 44)
(18, 43)
(19, 43)
(18, 43)
(19, 43)
(19, 42)
(19, 43)
(19, 44)
(19, 43)
(19, 44)
(18, 44)
(18, 43)
(19, 43)
(19, 42)
(18, 42)
(18, 41)
(19, 41)
(19, 42)
(19, 43)
(19, 42)
(18, 42)
(17, 42)
(17, 41)
(16, 41)
(16, 40)
(17, 40)
(16, 40)
(17, 40)
(17, 39)
(17, 38)
(17, 39)
(16, 39)
(16, 40)
(16, 39)
(16, 40)
(16, 41)
(16, 42)
(17, 42)
(16, 42)
(15, 42)
(15, 41)
(15, 40)
(14, 40)
(14, 39)
(14, 40)
(15, 40)
(14, 40)
(14, 39)
(14, 40)
(15, 40)
(15, 41)
(15, 40)
(14, 40)
(15, 40)
(15, 41)
(15, 40)
(15, 41)
(15, 40)
(14, 40)
(15, 40)
(16, 40)
(16, 41)
(16, 40)
(16, 39)
(16, 38)
(15, 38)
(14, 38)
(14, 37)
(14, 36)
(15, 36)
(15, 37)
(16, 37)
(16, 36)
(17, 36)
(18, 36)
(19, 36)
(19, 35)
(18, 35)
(17, 35)
(17, 36)
(16, 36)
(17, 36)
(17, 35)
(16, 35)
(16, 34)
(17, 34)
(16, 34)
(17, 34)
(16, 34)
(16, 35)
(16, 36)
(15, 36)
(15, 37)
(15, 38)
(14, 38)
(14, 39)
(14, 38)
(15, 38)
(16, 38)
(17, 38)
(16, 38)
(15, 38)
(14, 38)
(14, 37)
(15, 37)
(14, 37)
(14, 36)
(14, 37)
(15, 37)
(15, 36)
(15, 37)
(15, 38)
(15, 39)
(15, 40)
(15, 39)
(15, 40)
(16, 40)
(16, 41)
(16, 42)
(16, 41)
(17, 41)
(18, 41)
(17, 41)
(17, 40)
(18, 40)
(17, 40)
(17, 39)
(16, 39)
(16, 38)
(16, 39)
(15, 39)
(15, 38)
(16, 38)
(16, 37)
(17, 37)
(18, 37)
(18, 36)
(19, 36)
(19, 35)
(19, 36)
(19, 37)
(18, 37)
(19, 37)
(19, 38)
(19, 37)
(18, 37)
(18, 36)
(18, 37)
(18, 36)
(18, 37)
(18, 36)
(18, 35)
(18, 36)
(18, 37)
(17, 37)
(16, 37)
(17, 37)
(17, 36)
(17, 37)
(18, 37)
(19, 37)
(19, 36)
(18, 36)
(19, 36)
(19, 37)
(19, 38)
(19, 37)
(18, 37)
(18, 38)
(18, 37)
(19, 37)
(19, 38)
(19, 37)
(19, 38)
(19, 37)
(19, 36)
(19, 37)
(18, 37)
(19, 37)
(18, 37)
(17, 37)
(17, 38)
(17, 39)
(17, 38)
(16, 38)
(16, 39)
(16, 40)
(15, 40)
(15, 39)
(16, 39)
(16, 38)
(15, 38)
(14, 38)
(15, 38)
(16, 38)
(15, 38)
(14, 38)
(15, 38)
(15, 37)
(15, 38)
(15, 39)
(14, 39)
(14, 38)
(14, 37)
(14, 36)
(14, 35)
(15, 35)
(15, 36)
(15, 35)
(15, 34)
(15, 33)
(15, 34)
(16, 34)
(16, 33)
(17, 33)
(17, 32)
(17, 31)
(17, 32)
(17, 33)
(18, 33)
(18, 34)
(18, 35)
(18, 36)
(17, 36)
(17, 37)
(17, 38)
(18, 38)
(17, 38)
(18, 38)
(18, 37)
(18, 38)
(18, 39)
(17, 39)
(16, 39)
(16, 40)
(16, 39)
(15, 39)
(15, 38)
(14, 38)
(14, 37)
(15, 37)
(15, 36)
(14, 36)
(15, 36)
(16, 36)
(16, 35)
(17, 35)
(17, 34)
(16, 34)
(15, 34)
(15, 35)
(15, 36)
(15, 37)
(15, 38)
(15, 37)
(16, 37)
(16, 36)
(16, 35)
(15, 35)
(16, 35)
(15, 35)
(15, 36)
(16, 36)
(16, 37)
(17, 37)
(17, 38)
(17, 39)
(18, 39)
(19, 39)
(18, 39)
(17, 39)
(17, 40)
(17, 41)
(17, 42)
(16, 42)
(16, 41)
(15, 41)
(16, 41)
(16, 40)
(16, 41)
(17, 41)
(16, 41)
(17, 41)
(16, 41)
(16, 42)
(17, 42)
(16, 42)
(16, 41)
(17, 41)
(17, 42)
(16, 42)
(17, 42)
(17, 41)
(18, 41)
(18, 40)
(18, 41)
(17, 41)
(16, 41)
(16, 42)
(17, 42)
(18, 42)
(19, 42)
(18, 42)
(18, 41)
(17, 41)
(17, 40)
(16, 40)
(17, 40)
(17, 39)
(18, 39)
(19, 39)
(18, 39)
(17, 39)
(17, 40)
(16, 40)
(16, 41)
(15, 41)
(15, 40)
(16, 40)
(15, 40)
(14, 40)
(14, 41)
(14, 40)
(15, 40)
(14, 40)
(14, 39)
(15, 39)
(15, 40)
(15, 41)
(14, 41)
(14, 40)
(15, 40)
(15, 39)
(15, 38)
(15, 39)
(15, 38)
(15, 39)
(15, 40)
(16, 40)
(15, 40)
(15, 41)
(16, 41)
(16, 42)
(17, 42)
(17, 41)
(17, 42)
(18, 42)
(18, 43)
(18, 42)
(18, 41)
(18, 42)
(19, 42)
(19, 41)
(19, 40)
(19, 39)
(19, 40)
(18, 40)
(19, 40)
(19, 39)
(19, 38)
(19, 39)
(18, 39)
(18, 38)
(18, 37)
(18, 38)
(18, 39)
(18, 38)
(18, 37)
(18, 36)
(17, 36)
(17, 37)
(18, 37)
(18, 38)
(19, 38)
(19, 37)
(19, 36)
(19, 35)
(19, 36)
(19, 37)
(19, 38)
(18, 38)
(17, 38)
(16, 38)
(16, 39)
(15, 39)
(15, 38)
(14, 38)
(14, 39)
(14, 38)
(14, 37)
(15, 37)
(14, 37)
(15, 37)
(15, 38)
(15, 37)
(16, 37)
(17, 37)
(17, 38)
(17, 37)
(16, 37)
(15, 37)
(16, 37)
(16, 36)
(17, 36)
(17, 37)
(18, 37)
(18, 36)
(19, 36)
(19, 35)
(18, 35)
(18, 34)
(18, 33)
(18, 34)
(18, 33)
(19, 33)
(19, 32)
(19, 31)
(19, 30)
(19, 31)
(19, 32)
(19, 31)
(19, 32)
(19, 31)
(19, 32)
(19, 31)
(19, 30)
(19, 31)
(19, 32)
(19, 33)
(19, 32)
(19, 33)
(19, 34)
(19, 35)
(18, 35)
(19, 35)
(19, 34)
(18, 34)
(17, 34)
(17, 33)
(17, 32)
(17, 31)
(17, 32)
(18, 32)
(18, 33)
(17, 33)
(17, 32)
(16, 32)
(16, 33)
(17, 33)
(17, 34)
(16, 34)
(16, 35)
(16, 34)
(16, 33)
(17, 33)
(17, 34)
(16, 34)
(16, 35)
(15, 35)
(15, 36)
(16, 36)
(16, 35)
(17, 35)
(18, 35)
(18, 36)
(18, 37)
(18, 38)
(18, 39)
(18, 40)
(17, 40)
(17, 41)
(17, 42)
(18, 42)
(18, 41)
(19, 41)
(19, 40)
(18, 40)
(18, 39)
(18, 38)
(19, 38)
(19, 37)
(18, 37)
(17, 37)
(17, 36)
(17, 37)
(16, 37)
(15, 37)
(15, 36)
(15, 35)
(15, 34)
(15, 35)
(14, 35)
(14, 34)
(15, 34)
(15, 35)
(15, 34)
(15, 33)
(16, 33)
(16, 34)
(17, 34)
(16, 34)
(16, 33)
(15, 33)
(16, 33)
(16, 32)
(15, 32)
(16, 32)
(17, 32)
(18, 32)
(18, 33)
(18, 34)
(18, 33)
(18, 34)
(17, 34)
(16, 34)
(16, 35)
